Chinese,Trad.,Pinyin,English Definition
不择手段,不擇手段,bù zé shǒu duàn,by fair means or foul; by hook or by crook; unscrupulously
干,幹,gàn,tree trunk; main part of sth; to manage; to work; to do; capable; cadre; to kill (slang); to fuck (vulgar)
相信,,xiāng xìn,to be convinced (that sth is true); to believe; to accept sth as true
滑,,huá,surname Hua; to slip; to slide; smooth; slippery; cunning
比,,bǐ,"Belgium; Belgian; abbr. for 比利时 ; (particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio"
不管,,bù guǎn,"no matter (what, how); regardless of; no matter"
却,卻,què,but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though
坏人,壞人,huài rén,bad person; villain
顺应,順應,shùn yìng,to comply; to conform to; in tune with; adapting to; to adjust to
背离,背離,bèi lí,to depart from; to deviate from; deviation
行,,xíng,to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense
单位,單位,dān wèi,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform); Classifiers: 个"
可不,,kě bu,see 可不是
一定,,yī dìng,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must
你好,,nǐ hǎo,Hello!; Hi!; How are you?
同化,,tóng huà,"assimilation (cultural, digestive, phonemic etc)"
得道,,dé dào,to achieve the Dao; to become an immortal
道家,,dào jiā,"Daoist School of the Warring States Period (475-221 BC), based on the teachings of Laozi or Lao-tze 老子  (c. 500 BC-) and Zhuangzi 庄子  (369-286 BC)"
重点,重點,zhòng diǎn,important point; main point; focus; key (project etc); to focus on; to put the emphasis on
养性,養性,yǎng xìng,mental or spiritual cultivation
办,辦,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with
真事,,zhēn shì,reality; veracity; the real thing
真人,,zhēn rén,a real person; Daoist spiritual master
成真,,chéng zhēn,to come true
落,,luò,to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement
众生,眾生,zhòng shēng,all living things
苦,,kǔ,bitter; hardship; pain; to suffer; to bring suffering to; painstakingly
发,發,fā,to send out; to show (one's feeling); to issue; to develop; to make a bundle of money; classifier for gunshots (rounds)
愿望,願望,yuàn wàng,desire; wish
普,,pǔ,general; popular; everywhere; universal
众,眾,zhòng,"abbr. for 众议院 , House of Representatives; many; numerous; crowd; multitude"
法轮,法輪,fǎ lún,the Eternal Wheel of life in Buddhism
同,,tóng,like; same; similar; together; alike; with
史前,,shǐ qián,prehistory
文化,,wén huà,culture; civilization; cultural; Classifiers: 个
截然,,jié rán,completely; sharply (differing)
我国,我國,wǒ guó,our country; China
千年,,qiān nián,millennium
中华民族,中華民族,zhōng huá mín zú,the Chinese people
文明,,wén míng,civilized; civilization; culture; Classifiers: 个
差不多,,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad
少,,shǎo,few; less; to lack; to be missing; to stop (doing sth); seldom
出土,,chū tǔ,to dig up; to appear in an excavation; unearthed; to come up out of the ground
文物,,wén wù,cultural relic; historical relic; Classifiers: 件
中看,,zhōng kàn,pleasant to the eye; Taiwan pr. [zhong4 kan4]
七,,qī,seven; 7
远远,遠遠,yuǎn yuǎn,distant
超出,,chāo chū,to exceed; to overstep; to go too far; to encroach
怎样,怎樣,zěn yàng,how; why
达尔文,達爾文,dá ěr wén,"Charles Darwin (1809-1882), British biologist and author of ""On the Origin of Species"" 物种起源"
进化,進化,jìn huà,evolution; Classifiers: 个
论,論,lùn,"opinion; view; theory; doctrine; to discuss; to talk about; to regard; to consider; per; by the (kilometer, hour etc)"
水生,,shuǐ shēng,"aquatic (plant, animal)"
植物,,zhí wù,plant; vegetation; Classifiers: 种
动物,動物,dòng wù,animal; Classifiers: 只
爬,,pá,to crawl; to climb; to get up or sit up
陆地,陸地,lù dì,dry land (as opposed to the sea)
树,樹,shù,tree; Classifiers: 棵 ; to cultivate; to set up
地上,,dì shang,on the ground; on the floor
成为,成為,chéng wéi,to become; to turn into
猿人,,yuán rén,apeman
现代,現代,xiàn dài,"Hyundai, South Korean company; modern times; modern age; modern era"
推算,,tuī suàn,to calculate; to reckon; to extrapolate (in calculation)
出现,出現,chū xiàn,to appear; to arise; to emerge; to show up
超过,超過,chāo guò,to surpass; to exceed; to outstrip
一万年,一萬年,yī wàn nián,
往前,,wǎng qián,to move forwards
连结,連結,lián jié,variant of 联结
绳,繩,shéng,rope; Classifiers: 根
记事,記事,jì shì,to keep a record of events; record; to start to form memories (after one's infancy)
围,圍,wéi,"surname Wei; to encircle; to surround; all around; to wear by wrapping around (scarf, shawl)"
树叶,樹葉,shù yè,tree leaves
吃,,chī,to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2])
生肉,,shēng ròu,raw meat
连火都,連火都,lián huǒ dōu,
野人,,yě rén,savage people
原始,,yuán shǐ,first; original; primitive; original (document etc)
地方,,dì fāng,region; regional (away from the central administration); local
古迹,古跡,gǔ jì,places of historic interest; historical sites; Classifiers: 个
工艺,工藝,gōng yì,arts and crafts; industrial arts
水平,,shuǐ píng,level (of achievement etc); standard; horizontal
艺术,藝術,yì shù,art
来看,來看,lái kàn,to come and see; to see a topic from a certain point of view
相当,相當,xiāng dāng,equivalent to; appropriate; considerably; to a certain extent; fairly; quite
高超,,gāo chāo,excellent; superlative
现代人,現代人,xiàn dài rén,modern man; Homo sapiens
模仿,,mó fǎng,to imitate; to copy; to emulate; to mimic; model
古人,,gǔ rén,people from ancient times; the ancients; the late (i.e. person who has passed away)
欣赏,欣賞,xīn shǎng,to appreciate; to enjoy; to admire
价值,價值,jià zhí,"value; worth; fig. values (ethical, cultural etc); Classifiers: 个"
却是,卻是,què shì,nevertheless; actually; the fact is ...
万年前,萬年前,wàn nián qián,ten thousand years ago
于上亿,于上億,yú shàng yì,
这不,這不,zhè bu,"(coll.) As a matter of fact, ... (used to introduce evidence for what one has just asserted)"
开玩笑,開玩笑,kāi wán xiào,to play a joke; to make fun of; to joke
没什么,沒甚麼,méi shén me,nothing; it doesn't matter; it's nothing; never mind
完善,,wán shàn,perfect; to make perfect; to improve
开始,開始,kāi shǐ,to begin; beginning; to start; initial; Classifiers: 个
正确,正確,zhèng què,correct; proper
地球,,dì qiú,the earth; Classifiers: 个
亚洲,亞洲,yà zhōu,Asia; abbr. for 亚细亚洲
欧洲,歐洲,Ōu zhōu,Europe; abbr. for 欧罗巴洲
南美,,nán měi,South America
北美,,běi měi,North America
大洋洲,,dà yáng zhōu,Oceania
非洲,,fēi zhōu,Africa; abbr. for 阿非利加洲
南极洲,南極洲,nán jí zhōu,Antarctica
地质学家,地質學家,dì zhì xué jiā,geologist
它们,它們,tā men,they (for inanimate objects)
统称,統稱,tǒng chēng,to be collectively called; collective term; general designation
大陆,大陸,dà lù,mainland China (reference to the PRC); continent; mainland; Classifiers: 个
板块,板塊,bǎn kuài,block; slab; tectonic plate; continental plate
形成,,xíng chéng,to form; to take shape
为止,為止,wéi zhǐ,until; (used in combination with words like 到 in constructs of the form 到 ...到 ...为止 )
万年,萬年,wàn nián,"Wannian county in Shangrao 上饶 , Jiangxi"
海底,,hǎi dǐ,seabed; seafloor; bottom of the ocean
升,昇,shēng,to ascend; to rise to the rank of; to promote; to hoist; liter; measure for dry grain equal to one-tenth dou 斗 ; variant of 升 ; to ascend; to rise in rank
沉积,沉積,chén jī,sediment; deposit; sedimentation (geology)
稳定,穩定,wěn dìng,steady; stable; stability; to stabilize; to pacify
来到,來到,lái dào,to come; to arrive
已,,yǐ,already; to stop; then; afterwards
大洋,,dà yáng,oceans; silver yuan
底下,,dǐ xia,the location below sth; afterwards
高大,,gāo dà,tall; lofty
建筑,建築,jiàn zhù,to construct; building; Classifiers: 个
建筑物,建築物,jiàn zhù wù,building; structure; edifice
雕塑,,diāo sù,a statue; a Buddhist image; sculpture; to carve
精美,,jīng měi,delicate; fine; refinement
遗产,遺產,yí chǎn,heritage; legacy; inheritance; bequest; Classifiers: 笔
肯定,,kěn dìng,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)
之前,,zhī qián,before; prior to; ago; previously; beforehand
建造,,jiàn zào,to construct; to build
创造,創造,chuàng zào,to create; to bring about; to produce; to set (a record)
连,連,lián,"surname Lian; to link; to join; to connect; continuously; in succession; including; (used with 也 , 都 etc) even; company (military)"
猴子,,hóu zi,monkey; Classifiers: 只
智慧,,zhì huì,wisdom; knowledge; intelligent; intelligence
考古学家,考古學家,kǎo gǔ xué jiā,archaeologist
生物,,shēng wù,organism; living creature; life form; biological; Classifiers: 个
三叶虫,三葉蟲,sān yè chóng,trilobite
六亿年,六億年,liù yì nián,
二亿六千,二億六千,èr yì liù qiān,
产物,產物,chǎn wù,product; result (of)
二亿六千万年,二億六千萬年,èr yì liù qiān wàn nián,
科学家,科學家,kē xué jiā,scientist; Classifiers: 个
一块,一塊,yī kuài,one block; one piece; one (unit of money); together; in the same place; in company
化石,,huà shí,fossil
上面,,shàng mian,on top of; above-mentioned
脚印,腳印,jiǎo yìn,footprint
穿着,穿著,chuān zhuó,attire; clothes; dress
鞋,,xié,shoe; Classifiers: 双
踩,,cǎi,to step on; to tread; to stamp; to press a pedal; to pedal (a bike)
清,,qīng,Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing; clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge
清楚,,qīng chu,clear; distinct; to understand thoroughly; to be clear about
楚印,,chǔ yìn,
历史学家,歷史學家,lì shǐ xué jiā,historian
按,,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment
秘鲁,秘魯,bì lǔ,Peru
国立,國立,guó lì,national; state-run; public
博物馆,博物館,bó wù guǎn,museum
块,塊,kuài,"lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units"
刻,,kè,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals
像,,xiàng,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)
据,,jū,see 拮据
考察,,kǎo chá,to inspect; to observe and study; on-the-spot investigation
三万,三萬,sān wàn,30 thousand
衣服,,yī fu,clothes; Classifiers: 件
戴着,戴著,dài zhe,
帽子,,mào zi,hat; cap; (fig.) label; bad name; Classifiers: 顶
手里,手裡,shǒu lǐ,in hand; (a situation is) in sb's hands
望远镜,望遠鏡,wàng yuǎn jìng,binoculars; telescope; Classifiers: 付
观察,觀察,guān chá,to observe; to watch; to survey; to examine; observation; view; perspective; Classifiers: 个
天体,天體,tiān tǐ,celestial body; nude body
织布,織布,zhī bù,woven cloth; to weave cloth
穿衣,,chuān yī,to wear clothes; clothing
不可思议,不可思議,bù kě sī yì,inconceivable (idiom); unimaginable; unfathomable
天文,,tiān wén,astronomy
知,,zhī,to know; to be aware
识,識,shí,to know; knowledge; Taiwan pr. [shi4]
欧洲人,歐洲人,Ōu zhōu rén,European (person)
伽利略,,jiā lì lüè,"Galileo Galilei (1564-1642), Italian scientist"
发明,發明,fā míng,to invent; an invention; Classifiers: 个
不过,不過,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)
三百,,sān bǎi,
多年,,duō nián,many years
明了,明瞭,míng liǎo,to understand clearly; to be clear about; plain; clear; also written 明了 ; to understand clearly; to be clear about; plain; clear
不解,,bù jiě,to not understand; to be puzzled by; indissoluble
之,,zhī,"(possessive particle, literary equivalent of 的 ); him; her; it"
如,,rú,as; as if; such as
法国,法國,fǎ guó,France; French
南非,,nán fēi,South Africa
阿尔卑斯山,阿爾卑斯山,Ā ěr bēi sī shān,"Alps, mountain range bordering Switzerland"
岩,,yán,cliff; rock
洞,,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers); Classifiers: 个
石板,,shí bǎn,slab; flagstone; slate
壁画,壁畫,bì huà,mural (painting); fresco
十分,,shí fēn,very; completely; utterly; extremely; absolutely; hundred percent; to divide into ten equal parts
逼真,,bī zhēn,lifelike; true to life; distinctly; clearly
活灵活现,活靈活現,huó líng huó xiàn,"living spirit, living image (idiom); true to life; vivid and realistic"
涂,塗,tú,to apply (paint etc); to smear; to daub; to blot out; to scribble; to scrawl; (literary) mud; street; surname Tu; variant of 途
矿物质,礦物質,kuàng wù zhì,"mineral, esp. dietary mineral"
颜料,顏料,yán liào,paint; dye; pigment
装束,裝束,zhuāng shù,attire; clothing
有点,有點,yǒu diǎn,a little
西服,,xī fú,suit; Western-style clothes (historical usage)
紧,緊,jǐn,tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten
腿,骽,tuǐ,leg; Classifiers: 条 ; hip bone; old variant of 腿
裤,褲,kù,underpants; trousers; pants
烟斗,煙斗,yān dǒu,(smoking) pipe
棍,,gùn,stick; rod; truncheon
再说,再說,zài shuō,to say again; to put off a discussion until later; moreover; what's more; besides
远,遠,yuǎn,far; distant; remote; (intensifier in a comparison) by far; much (lower etc)
加蓬,,jiā péng,Gabon
共和,,gòng hé,republic; republicanism
国有,國有,guó yǒu,nationalized; public; government owned; state-owned
铀,鈾,yóu,uranium (chemistry); Taiwan pr. [you4]
矿石,礦石,kuàng shí,ore
国家,國家,guó jiā,country; nation; state; Classifiers: 个
落后,落後,luò hòu,to fall behind; to lag (in technology etc); backward; to retrogress
提炼,提煉,tí liàn,"to extract (ore, minerals etc); to refine; to purify; to process"
出口,,chū kǒu,an exit; Classifiers: 个 ; to speak; to export; (of a ship) to leave port
先进,先進,xiān jìn,advanced (technology); to advance
一九七二年,,yī jiǔ qī èr nián,
一家,,yī jiā,the whole family; the same family; the family ... (when preceded by a family name); group
工厂,工廠,gōng chǎng,factory; Classifiers: 家
进口,進口,jìn kǒu,"to import; imported; entrance; inlet (for the intake of air, water etc)"
经过,經過,jīng guò,to pass; to go through; process; course; Classifiers: 个
化验,化驗,huà yàn,laboratory test; chemical experiment; assay
利用,,lì yòng,to exploit; to make use of; to use; to take advantage of; to utilize
奇怪,,qí guài,strange; odd; to marvel; to be baffled
派出,,pài chū,to send; to dispatch
科技,,kē jì,science and technology
人员,人員,rén yuán,staff; crew; personnel; Classifiers: 个
证实,證實,zhèng shí,to confirm (sth to be true); to verify
矿,礦,kuàng,ore; mine
大型,,dà xíng,large; large-scale
核反应堆,核反應堆,hé fǎn yìng duī,nuclear reactor
布局,佈局,bù jú,arrangement; composition; layout; opening (chess jargon)
合理,,hé lǐ,rational; reasonable; fair
建成,,jiàn chéng,to establish; to build
二十亿,二十億,èr shí yì,two billion
运转,運轉,yùn zhuǎn,to work; to operate; to revolve; to turn around
五十万年,五十萬年,wǔ shí wàn nián,
数字,數字,shù zì,numeral; digit; number; figure; amount; digital (electronics etc); Classifiers: 个
足以,,zú yǐ,sufficient to...; so much so that; so that
改变,改變,gǎi biàn,to change; to alter; to transform
教科书,教科書,jiào kē shū,textbook; Classifiers: 本
固,,gù,hard; strong; solid; sure; assuredly; undoubtedly; of course; indeed; admittedly
旧观,舊觀,jiù guān,former appearance; what it used to look like
工作,,gōng zuò,to work; (of a machine) to operate; job; work; task; Classifiers: 个
思维,思維,sī wéi,(line of) thought; thinking
方法,,fāng fǎ,method; way; means; Classifiers: 个
后,後,hòu,surname Hou; empress; queen; back; behind; rear; afterwards; after; later
不敢,,bù gǎn,not dare to
本能,,běn néng,instinct
排斥,,pái chì,to reject; to exclude; to eliminate; to remove; to repel
由于,由於,yóu yú,due to; as a result of; thanks to; owing to; since; because
传统,傳統,chuán tǒng,tradition; traditional; convention; conventional; Classifiers: 个
观念,觀念,guān niàn,notion; thought; concept; sense; views; ideology; general impressions
整理,,zhěng lǐ,"to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)"
老是,,lǎo shi,always
跟不上,,gēn bu shàng,not able to keep up with
虽然,雖然,suī rán,although; even though; even if
普及,,pǔ jí,to spread extensively; to generalize; widespread; popular; universal; ubiquitous; pervasive
迷信,,mí xìn,superstition; to have a superstitious belief (in sth)
国外,國外,guó wài,abroad; external (affairs); overseas; foreign
大胆,大膽,dà dǎn,brazen; audacious; outrageous; bold; daring; fearless
公开,公開,gōng kāi,public; to publish; to make public
承认,承認,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge"
这次,這次,zhè cì,present; now; current
多次,,duō cì,many times; repeatedly
遭到,,zāo dào,to suffer; to meet with (sth unfortunate)
毁灭性,毀滅性,huǐ miè xìng,destructive; devastating
打击,打擊,dǎ jī,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music)
少数,少數,shǎo shù,small number; few; minority
活,,huó,to live; alive; living; work; workmanship
生活,,shēng huó,life; activity; to live; livelihood
逐渐,逐漸,zhú jiàn,gradually
繁衍,,fán yǎn,to multiply; to reproduce; to increase gradually in number or quantity
出新,,chū xīn,to make new advances; to move forwards
进入,進入,jìn rù,to enter; to join; to go into
走向,,zǒu xiàng,direction; strike (i.e. angle of inclination in geology); inclination; trend; to move towards; to head for
毁灭,毀滅,huǐ miè,to perish; to ruin; to destroy
个个,個個,gè gè,each one individually; each and every
周期,週期,zhōu qī,period; cycle
物理学家,物理學家,wù lǐ xué jiā,physicist
规律,規律,guī lǜ,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline
浩瀚,,hào hàn,vast (of ocean); boundless
一帆风顺,一帆風順,yī fān fēng shùn,propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!
碰到,,pèng dào,to come across; to run into; to meet; to hit
哪个,哪個,nǎ ge,which; who
星球,,xīng qiú,"celestial body (e.g. planet, satellite etc); heavenly body"
灾难,災難,zāi nàn,disaster; catastrophe
安排,,ān pái,to arrange; to plan; to set up; arrangements; plans
仔细,仔細,zǐ xì,careful; attentive; cautious
查,,chá,to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary)
八十一次,,bā shí yī cì,
处于,處於,chǔ yú,"to be in (some state, position, or condition)"
遗,遺,yí,to lose; to leave behind; to omit; to bequeath; sth lost; involuntary discharge (of urine etc)
原来,原來,yuán lái,"original; former; originally; formerly; at first; so, actually, as it turns out"
中国人,中國人,zhōng guó rén,Chinese person
天时,天時,tiān shí,the time; the right time; weather conditions; destiny; course of time; heaven's natural order
地利,,dì lì,favorable location; in the right place; productivity of land
天象,,tiān xiàng,meteorological or astronomical phenomenon (e.g. rainbow or eclipse)
带来,帶來,dài lái,to bring; to bring about; to produce
物理学,物理學,wù lǐ xué,physics
规,規,guī,compass; a rule; regulation; to admonish; to plan; to scheme
律,,lǜ,surname Lü; law
前面,,qián miàn,ahead; in front; preceding; above
主要,,zhǔ yào,main; principal; major; primary
久远,久遠,jiǔ yuǎn,old; ancient; far away
年代,,nián dài,a decade of a century (e.g. the Sixties); age; era; period; Classifiers: 个
遗留,遺留,yí liú,to leave behind; to hand down
找到,,zhǎo dào,to find
论述,論述,lùn shù,treatise; discourse; exposition
多少,,duō shǎo,number; amount; somewhat
亿,億,yì,100 million
劫,,jié,to rob; to plunder; to seize by force; to coerce; calamity; abbr. for kalpa 劫波
成,,chéng,surname Cheng; to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth
庞大,龐大,páng dà,huge; enormous; tremendous
相,,xiàng,"appearance; portrait; picture; government minister; (physics) phase; (literary) to appraise (esp. by scrutinizing physical features); to read sb's fortune (by physiognomy, palmistry etc)"
吻合,,wěn hé,to be a good fit; to be identical with; to adjust oneself to; to fit in
师父,師父,shī fu,used for 师傅 (in Taiwan); master; qualified worker
等等,,děng děng,et cetera; and so on ...; wait a minute!; hold on!
那些,,nà xiē,those
正统,正統,zhèng tǒng,"Zhengtong Emperor, reign name of sixth Ming Emperor Zhu Qizhen 朱祁镇 ; orthodox"
真传,真傳,zhēn chuán,authentic tradition; handed-down teachings or techniques
是不是,,shì bù shì,is or isn't; yes or no; whether or not
回答,,huí dá,to reply; to answer; the answer; Classifiers: 个
见,見,jiàn,to see; to meet; to appear (to be sth); to interview
假,叚,jiǎ,fake; false; artificial; to borrow; if; suppose; variant of 假 ; to borrow
伪,偽,wěi,false; fake; forged; bogus; Taiwan pr. [wei4]
附,,fù,to add; to attach; to be close to; to be attached
编,編,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate
骗人,騙人,piàn rén,to cheat sb; a scam
倍,,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply"
真假难辨,真假難辨,zhēn jiǎ nán biàn,hard to distinguish real from imitation
辨别,辨別,biàn bié,to differentiate; to distinguish; to discriminate
太极,太極,tài jí,"the Absolute or Supreme Ultimate, the source of all things according to some interpretations of Chinese mythology"
河,,hé,river; Classifiers: 条
图,圖,tú,diagram; picture; drawing; chart; map; Classifiers: 张 ; to plan; to scheme; to attempt; to pursue; to seek
洛书,洛書,luò shū,
周易,,zhōu yì,another name for Book of Changes (I Ching) 易经
八卦,,bā guà,the eight divinatory trigrams of the Book of Changes 易经 ; gossip; gossipy
研究,,yán jiū,research; a study; Classifiers: 项
既然,,jì rán,since; as; this being the case
到底,,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last
干什么,幹甚麼,gàn shén me,what are you doing?; what's he up to?
修道,,xiū dào,to practice Daoism
梵语,梵語,fàn yǔ,Sanskrit (language)
古,,gǔ,surname Gu; ancient; old; paleo-
印度,,yìn dù,India
语,語,yǔ,dialect; language; speech
传入,傳入,chuán rù,to import; transmitted inwards; afferent
叫作,,jiào zuò,to call; to be called
佛陀,,fó tuó,Buddha; transliteration of Sanskrit; the all-enlightened one
译,譯,yì,to translate; to interpret
浮图,浮圖,fú tú,Buddha; Buddhist stupa (transliteration of Pali thupo); also written 浮屠
省略,,shěng lüè,to leave out; an omission
翻译,翻譯,fān yì,to translate; to interpret; translator; interpreter; translation; interpretation; Classifiers: 个
中国话,中國話,zhōng guó huà,(spoken) Chinese language
通过,通過,tōng guò,by means of; through; via; to pass through; to get through; to adopt; to pass (a bill or inspection etc); to switch over
觉悟,覺悟,jué wù,to come to understand; to realize; consciousness; awareness; Buddhist enlightenment (Sanskrit: cittotpāda)
色彩,,sè cǎi,tint; coloring; coloration; (fig.) flavor; character
特异功能,特異功能,tè yì gōng néng,supernatural power; extrasensory perception
公认,公認,gōng rèn,publicly known (to be); accepted (as)
那里,"那裏, 那裡",nà li,there; that place; also written 那里 ; there; that place
动手,動手,dòng shǒu,to set about (a task); to hit; to punch; to touch
脚,腳,jiǎo,foot; leg (of an animal or an object); base (of an object); Classifiers: 双 ; classifier for kicks
动手动脚,動手動腳,dòng shǒu dòng jiǎo,to come to blows; to paw; to grope; to get fresh
成古,,chéng gǔ,
言外之意,,yán wài zhī yì,unspoken implication (idiom); the actual meaning of what was said
肤浅,膚淺,fū qiǎn,skin-deep; superficial; shallow
怪,,guài,bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather
使命,,shǐ mìng,mission (diplomatic or other); set task
及,,jí,and; to reach; up to; in time for
不得,,bù dé,must not; may not; not to be allowed; cannot
结果,結果,jiē guǒ,to bear fruit; Classifiers: 个
困难,困難,kùn nan,difficult; challenging; straitened circumstances; difficult situation
确实,確實,què shí,indeed; really; reliable; real; true
谈,談,tán,surname Tan; to speak; to talk; to converse; to chat; to discuss
起来,起來,qǐ lai,to stand up; to get up; also pr. [qi3 lai2]
尽量,儘量,jǐn liàng,as much as possible; to the greatest extent
科学,科學,kē xué,science; scientific knowledge; scientific; rational; Classifiers: 门
接触,接觸,jiē chù,to touch; to contact; access; in touch with
唯,,wéi,-ism; only; alone
不在,,bù zài,not to be present; to be out; (euphemism) to pass away; to be deceased
进步,進步,jìn bù,progress; improvement; to improve; to progress; Classifiers: 个
向前,,xiàng qián,forward; onward
推动,推動,tuī dòng,to push (for acceptance of a plan); to push forward; to promote; to actuate; Classifiers: 个
前人,,qián rén,predecessor; forebears; the person facing you
不用,,bù yòng,need not
仪器,儀器,yí qì,instrument; apparatus; Classifiers: 台
测,測,cè,to survey; to measure; to conjecture
次声波,次聲波,cì shēng bō,infrasonic wave
超声波,超聲波,chāo shēng bō,ultrasound (scan)
电磁波,電磁波,diàn cí bō,electromagnetic wave
红外线,紅外線,hóng wài xiàn,infrared ray
紫外线,紫外線,zǐ wài xiàn,ultraviolet ray
伽,,jiā,traditionally used as phonetic for ga; also pr. [ga1]
玛,瑪,mǎ,agate; cornelian
射线,射線,shè xiàn,ray
中子,,zhōng zǐ,neutron
原子,,yuán zǐ,atom; atomic
微量,,wēi liàng,a smidgen; minute; micro-; trace (element)
金属,金屬,jīn shǔ,metal; Classifiers: 种
元素,,yuán sù,element; element of a set; chemical element
成份,,chéng fèn,composition; make-up; ingredient; element; component; one's social status; same as 成分
由,,yóu,to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb)
时空,時空,shí kōng,space-time (in relativity)
用来,用來,yòng lái,to be used for
必然,,bì rán,inevitable; certain; necessity
高深,,gāo shēn,profound
名字,,míng zi,name (of a person or thing); Classifiers: 个
二十,,èr shí,twenty; 20
文化大革命,,wén huà dà gé mìng,Cultural Revolution (1966-1976)
中期,,zhōng qī,"middle (of a period of time); medium-term (plan, forecast etc)"
后期,後期,hòu qī,late stage; later period
进,進,jìn,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound
入,,rù,to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入声
高潮,,gāo cháo,high tide; high water; upsurge; climax; orgasm; chorus (part of a song)
左,,zuǒ,surname Zuo; left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐
思潮,,sī cháo,tide of thought; way of thinking characteristic of a historical period; Zeitgeist
严重,嚴重,yán zhòng,grave; serious; severe; critical
进程,進程,jìn chéng,process; course
封建社会,封建社會,fēng jiàn shè huì,feudal society
往往,,wǎng wǎng,often; frequently
封建,,fēng jiàn,system of enfeoffment; feudalism; feudal; feudalistic
浓,濃,nóng,concentrated; dense; strong (smell etc)
宗教,,zōng jiào,religion
有关,有關,yǒu guān,to have sth to do with; to relate to; related to; to concern; concerning
比如,,bǐ rú,for example; for instance; such as
禅,禪,chán,dhyana (Sanskrit); Zen; meditation (Buddhism)
罗汉,羅漢,luó hàn,abbr. for 阿罗汉
九,,jiǔ,nine; 9
金丹术,金丹術,jīn dān shù,
若,,ruò,to seem; like; as; if
挨批,,ái pī,to be criticized; to suffer blame
斗,鬥,dòu,to fight; to struggle; to condemn; to censure; to contend; to put together; coming together
尽管,儘管,jǐn guǎn,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating"
群众,群眾,qún zhòng,mass; multitude; the masses
素质,素質,sù zhì,inner quality; basic essence
丹,,dān,red; pellet; powder; cinnabar
藏,,cáng,to conceal; to hide away; to harbor; to store; to collect
中断,中斷,zhōng duàn,to cut short; to break off; to discontinue; to interrupt
章取义,章取義,zhāng qǔ yì,
拿出,,ná chū,to take out; to put out; to provide; to put forward (a proposal); to come up with (evidence)
名词,名詞,míng cí,noun
符合,,fú hé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle
意识,意識,yì shí,consciousness; awareness; to be aware; to realize
而已,,ér yǐ,that's all; nothing more
长,長,cháng,length; long; forever; always; constantly
好多,,hǎo duō,many; quite a lot; much better
得到,,dé dào,to get; to obtain; to receive
老师,老師,lǎo shī,teacher; Classifiers: 个
绝招,絕招,jué zhāo,unique skill; unexpected tricky move (as a last resort); masterstroke; finishing blow
